"Protein","Total identified peptides","Total quantified peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3"
"P55011",19,18,"S12A2_HUMAN Solute carrier family 12 member 2",-0.579583924377832,-0.583509751410318,-0.572146478007005,-0.571587613406674,-0.578175899889509,-0.499848820045899,-0.378869146988385,-0.295460898718794,-0.380477441296926,0.0608787641425355,-0.00662024474725333,0.0418215842253165,0.711077946270479,0.599018387928518,0.600886467462947,0.812731709385868,0.703842658797423,0.810715858925683
"O60341",18,14,"KDM1A_HUMAN Lysine-specific histone demethylase 1A",0.230630983882416,0.110126443726271,0.162696231691669,0.0369807343258438,-0.000614772849048149,0.0335039240390586,-0.0371284307078509,0.00628168404937435,-0.0322227589891344,0.0916763851346279,0.0805674878471595,0.0877422850658542,-0.0808983347218404,-0.0624236730495922,-0.118708320831188,-0.193450064762104,-0.139729135696485,-0.179587647597934
"Q8WZ42",1307,1302,"TITIN_HUMAN Titin",-1.55687478171067,-1.49176887161363,-1.38854103647399,-1.31539006008031,-1.31395801828115,-1.15530252037921,-0.464527500415952,-0.403192963246689,-0.49712876534359,0.524663842611752,0.252699847890176,0.329651206501883,1.1370270016657,1.2266837148864,1.24230554968101,1.64730038057024,1.44882258786568,1.41142155826269
"Q9UPN3",391,366,"MACF1_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",-0.437598445617155,-0.434060020069596,-0.431989781928167,-0.227923196942174,-0.280184654867024,-0.24234111014566,-0.231185150658348,-0.280323778404661,-0.328335971546447,0.124171194539294,0.103024984296217,0.133034321597771,0.342150055662863,0.408723425195039,0.405510195137712,0.454579451733435,0.4358373656989,0.443908386886114
"Q15149",341,282,"PLEC_HUMAN Plectin",-0.225564372169627,-0.222929264468087,-0.21959739700459,-0.149914440724872,-0.140035722422216,-0.0880889604594924,-0.103638333765696,-0.114164874403995,-0.147663751390447,0.00572074232153794,-0.0266449407817009,0.0115809441097609,0.173249387612186,0.209402973726433,0.204253950962649,0.256889638458048,0.288237993132151,0.281949571720238
"Q03001",310,285,"DYST_HUMAN Dystonin",-0.0900889901681415,-0.0900865994856958,-0.0830318177618855,-0.0269713392286383,-0.0167007631505396,-0.000290467409209237,-0.33199988097667,-0.363710453273941,-0.3870853099425,-0.121446431613361,-0.0979731641353097,-0.0499948722557966,0.259095853010408,0.313234643624248,0.276340253742018,0.268062768017782,0.249490336206022,0.27574014452998
"Q09666",306,302,"AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK",0.289431508318187,0.288572711041777,0.36249295120731,0.208481790152223,0.253378027201022,0.249886940786897,0.210978633161382,0.205575249953986,0.281607260025704,-0.0112993325725491,0.0432337367674603,-0.0135441916966166,-0.224031267485591,-0.353495095045847,-0.313895047275632,-0.47174913402681,-0.50540103246233,-0.504919292511566
"Q14204",244,185,"DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1",0.276313613307361,0.261029597215398,0.308432042945638,0.0286090552754119,0.0227061394983589,-0.103363014662141,0.0263475469325091,0.0900242818408537,0.18274954383632,0.0971139059164634,0.134759912919829,0.00708081334942338,-0.148084245655257,-0.202540724404757,-0.147472971945281,-0.229177087505603,-0.325684645672264,-0.291217812556537
"P78527",187,180,"PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit",-0.0485574870678487,-0.0514981112423298,-0.00242373432323245,-0.0847978980631913,-0.0863106512532072,-0.103461080545925,0.227319276817072,0.23602036844652,0.309785961189605,0.144931647644867,0.193103847481082,0.137464717998875,-0.0542693471352639,-0.113206990306572,-0.0888063529733023,-0.177731662473521,-0.218588887364215,-0.215083186785557
"Q13813",182,147,"SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1",-0.198365266110064,-0.192771119674566,-0.167034354646632,-0.112923100361596,-0.109288279767876,-0.0492070587315404,-0.0395779690000287,-0.0939485775448559,-0.0936317093010115,0.00509639271081864,0.0260145355616437,0.053715537257718,0.171705463285208,0.149347446301839,0.142433377534823,0.182874546569085,0.164851093859719,0.168906936543263
